t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00065,-0.00000,0.46170,1.00000,0.00000,-0.00196,-0.00000,0.00856,-0.00000,0.30051,0.30051,0.00370,-0.00000,2,0.03434,0,0.04900,0.01900,-0.023186,-0.000052,30.1968,0.007182,-0.002494,32.6831,-0.023186,0.000052,30.1968,0.007182,0.002494,32.6831,-0.00011,0.00009,-0.54851,1.10700,-0.55410,0.00051,0.00011,-0.00009,-0.54851,1.10700,-0.55410,-0.00051,0.00019,-0.00042,0.00019,-0.00042,0.00007,-0.00066,-0.32096,-1.75268,-0.55347,0.00031,-0.00007,0.00066,-0.32096,-1.75268,-0.55347,-0.00031,-0.04387,-0.00372,-0.04387,-0.00372,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,-0.00072,0.00000,0.46177,1.00000,0.00000,-0.00204,-0.00000,0.00851,0.00000,0.30059,0.30051,0.00392,0.00000,2,0.03442,0,0.04900,0.01900,-0.018650,-0.000090,30.3064,-0.021917,-0.000123,31.5180,-0.018650,0.000078,30.3065,-0.021917,0.000123,31.5180,-0.00011,0.00009,-0.54849,1.10693,-0.55398,0.00045,0.00011,-0.00009,-0.54849,1.10693,-0.55398,-0.00045,0.00019,-0.00040,0.00019,-0.00040,-0.00006,-0.00224,-0.26747,-1.67580,-0.44648,0.00104,0.00006,0.00232,-0.26747,-1.67580,-0.44648,-0.00072,-0.03631,-0.00254,-0.03631,-0.00254,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,-0.00076,0.00000,0.46184,1.00000,0.00000,-0.00208,-0.00000,0.00846,0.00000,0.30067,0.30051,0.00407,0.00000,2,0.03448,0,0.04900,0.01900,-0.014893,-0.000123,30.4207,-0.017761,-0.000148,31.5371,-0.014893,0.000080,30.4209,-0.017761,0.000137,31.5371,-0.00010,0.00010,-0.54849,1.10687,-0.55393,0.00038,0.00010,-0.00010,-0.54849,1.10687,-0.55393,-0.00038,0.00018,-0.00037,0.00018,-0.00037,-0.00014,-0.00315,-0.22234,-1.61248,-0.35621,0.00187,0.00014,0.00345,-0.22234,-1.61249,-0.35621,-0.00067,-0.03012,-0.00170,-0.03012,-0.00170,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,-0.00080,0.00000,0.46190,1.00000,0.00000,-0.00210,-0.00000,0.00843,0.00000,0.30073,0.30051,0.00416,0.00000,2,0.03454,0,0.04900,0.01900,-0.011775,-0.000155,30.5346,-0.014281,-0.000171,31.5822,-0.011775,0.000064,30.5350,-0.014281,0.000131,31.5824,-0.00010,0.00011,-0.54849,1.10678,-0.55391,0.00031,0.00010,-0.00011,-0.54849,1.10678,-0.55391,-0.00031,0.00017,-0.00033,0.00017,-0.00033,-0.00018,-0.00361,-0.18428,-1.56003,-0.27998,0.00282,0.00018,0.00423,-0.18427,-1.56005,-0.27997,-0.00029,-0.02503,-0.00110,-0.02503,-0.00110,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,-0.00082,0.00000,0.46196,1.00000,0.00000,-0.00210,-0.00000,0.00841,0.00000,0.30080,0.30051,0.00420,0.00001,2,0.03459,0,0.04900,0.01900,-0.009189,-0.000186,30.6443,-0.011371,-0.000193,31.6462,-0.009188,0.000036,30.6450,-0.011371,0.000109,31.6466,-0.00010,0.00011,-0.54848,1.10664,-0.55387,0.00024,0.00010,-0.00012,-0.54848,1.10664,-0.55387,-0.00024,0.00015,-0.00030,0.00015,-0.00030,-0.00020,-0.00375,-0.15228,-1.51652,-0.21574,0.00385,0.00020,0.00475,-0.15227,-1.51654,-0.21573,0.00034,-0.02085,-0.00069,-0.02085,-0.00069,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,-0.00083,0.00000,0.46201,1.00000,0.00000,-0.00209,-0.00000,0.00839,0.00000,0.30085,0.30051,0.00420,0.00001,2,0.03463,0,0.04900,0.01900,-0.007048,-0.000216,30.7468,-0.008940,-0.000215,31.7235,-0.007047,-0.000001,30.7477,-0.008940,0.000077,31.7241,-0.00010,0.00012,-0.54846,1.10644,-0.55381,0.00019,0.00010,-0.00012,-0.54846,1.10644,-0.55381,-0.00017,0.00014,-0.00026,0.00014,-0.00026,-0.00021,-0.00365,-0.12558,-1.48050,-0.16192,0.00494,0.00021,0.00509,-0.12556,-1.48053,-0.16191,0.00116,-0.01746,-0.00041,-0.01746,-0.00041,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,-0.00084,0.00000,0.46206,1.00000,0.00000,-0.00206,-0.00000,0.00837,0.00000,0.30090,0.30051,0.00417,0.00002,2,0.03467,0,0.04900,0.01900,-0.005278,-0.000247,30.8399,-0.006914,-0.000240,31.8053,-0.005277,-0.000043,30.8411,-0.006914,0.000040,31.8062,-0.00010,0.00012,-0.54844,1.10621,-0.55372,0.00014,0.00010,-0.00013,-0.54844,1.10621,-0.55372,-0.00012,0.00012,-0.00023,0.00012,-0.00023,-0.00020,-0.00341,-0.10343,-1.45071,-0.11705,0.00609,0.00020,0.00532,-0.10341,-1.45076,-0.11704,0.00211,-0.01472,-0.00024,-0.01472,-0.00024,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,-0.00083,0.00000,0.46211,1.00000,0.00000,-0.00203,-0.00000,0.00836,0.00000,0.30095,0.30051,0.00412,0.00002,2,0.03470,0,0.04900,0.01900,-0.003815,-0.000280,30.9229,-0.005231,-0.000267,31.8855,-0.003814,-0.000088,30.9245,-0.005230,-0.000001,31.8868,-0.00010,0.00013,-0.54842,1.10593,-0.55359,0.00010,0.00010,-0.00014,-0.54842,1.10593,-0.55359,-0.00006,0.00010,-0.00020,0.00010,-0.00020,-0.00019,-0.00311,-0.08510,-1.42606,-0.07976,0.00728,0.00019,0.00551,-0.08508,-1.42612,-0.07974,0.00315,-0.01251,-0.00014,-0.01251,-0.00014,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,-0.00083,0.00000,0.46215,1.00000,0.00000,-0.00198,-0.00000,0.00836,0.00000,0.30099,0.30051,0.00405,0.00003,2,0.03472,0,0.04900,0.01900,-0.002604,-0.000314,30.9960,-0.003833,-0.000297,31.9607,-0.002603,-0.000135,30.9979,-0.003832,-0.000044,31.9623,-0.00010,0.00013,-0.54839,1.10562,-0.55344,0.00007,0.00010,-0.00015,-0.54839,1.10562,-0.55344,-0.00002,0.00007,-0.00017,0.00007,-0.00017,-0.00018,-0.00277,-0.06996,-1.40561,-0.04883,0.00850,0.00018,0.00567,-0.06992,-1.40569,-0.04881,0.00427,-0.01073,-0.00008,-0.01073,-0.00008,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,-0.00081,0.00000,0.46219,1.00000,0.00000,-0.00193,-0.00000,0.00836,0.00000,0.30103,0.30051,0.00397,0.00004,2,0.03474,0,0.04900,0.01900,-0.001601,-0.000350,31.0597,-0.002672,-0.000328,32.0290,-0.001600,-0.000183,31.0620,-0.002671,-0.000088,32.0310,-0.00010,0.00012,-0.54835,1.10529,-0.55326,0.00005,0.00010,-0.00015,-0.54835,1.10529,-0.55326,0.00003,0.00005,-0.00014,0.00005,-0.00014,-0.00017,-0.00242,-0.05744,-1.38859,-0.02321,0.00974,0.00017,0.00582,-0.05740,-1.38868,-0.02318,0.00542,-0.00929,-0.00004,-0.00929,-0.00004,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
